mean,std,max,min,range,skewness,kurtosis,rms,spectral_centroid,spectral_energy,r_amplitude,q_amplitude,s_amplitude
0.0019257601833010322,0.46070822761909536,0.9182676835712156,-0.8016380243613209,1.7199057079325364,0.0018223924982033617,-1.0330834394847694,0.46071225243986264,32.39386372700329,6877.087257362062,0.030352198024254637,-0.09221998191618715,-0.8016380243613209
0.0019067396875528707,0.31577947479298235,0.6284302632830385,-0.560044330635542,1.1884745939185806,0.06423269711440877,-0.9402988657041726,0.31578523137849224,48.15744300502005,3230.9381203592793,0.05815538653960473,-0.1439498397191654,-0.560044330635542
-0.015047958109858367,0.3604069426178098,0.576388252758556,-0.8289116067894733,1.4052998595480293,-0.562566949552554,-0.6182294100772334,0.36072095216440275,39.14372129633714,4215.875212704745,-0.5188730063120948,-0.5553457733233333,-0.8289116067894733
-0.0007421521344129347,0.46312665600591774,0.8461938259511039,-0.8730566414351011,1.719250467386205,-0.009980842804037568,-1.0466323374552313,0.4631272506482579,35.85066556202103,6949.373949493662,0.060766741841028524,-0.05726808697945965,-0.8730566414351011
-0.0015776473641027128,0.3186130606053477,0.6079751191039932,-0.5730128507121877,1.1809879698161807,-0.023338609240129007,-0.9226165327940681,0.31861696652801225,48.28542260902451,3289.143392048203,-0.06747597963941943,-0.0944687897320027,-0.5730128507121877
0.004230196878261615,0.4515911043522396,0.8079722113794316,-0.805561951990356,1.6135341633697875,0.013746068278312195,-1.0882313001861357,0.45161091671449244,35.548987663357416,6608.058411100817,-0.08341548347746894,-0.06103520606260606,-0.805561951990356
0.001429084998790664,0.31797400661122516,0.6092766331900462,-0.5911146537100206,1.2003912869000668,0.030930323822049122,-0.8733787528775729,0.31797721799576967,49.512139187008415,3275.9481617242673,-0.0016871274135790545,-0.07807519367083486,-0.5911146537100206
0.0030019077109462856,0.45401943613838003,0.8335497233105975,-0.8431948711684365,1.676744594479034,0.002331486963158619,-1.0400763428133983,0.45402936010936296,33.65818948640863,6679.022178858688,-0.060646705395347306,-0.09621763162452232,-0.8431948711684365
0.00018465774333284755,0.3193685039458934,0.6399361826787787,-0.5670220675105057,1.2069582501892844,0.06386472291120608,-0.8746208747346134,0.3193685573301171,48.66873808435573,3304.6793233202957,-0.009608353704215256,-0.09114247070025908,-0.5670220675105057
0.005666894245937115,0.45915603066504745,0.8161282916101495,-0.8058582988846137,1.6219865904947632,0.0047578944626249856,-1.0955247636662384,0.4591909996793019,34.26618529332905,6831.746523641843,0.022019550481625474,-0.06863117590720515,-0.8058582988846137
